tension_id,lens,lens_letter,difference_type,entity_ids,shared_observable,shared_domain,difference_summary,evidence_basis,candidate_discriminator,data_available,cheap_test_possible,candidate_id,human_status,relation_confidences,source_paths,source_commit
T-0011,calibration_artifact_portability,D,calibration_artifact_producer,model:sourcing2026.g10_liquor_rheology | model:wadsworth2026.inertial,,flow,"sourcing2026.g10_liquor_rheology is a calibration component on stage flow (provenance reference_only, evidence source_curve_reproduction). Declared validity: source_curve_reproduction for the extract rheology (closures reproduce the FULL digitized Table-1 eta / Table-2 K grids within the authors' stated fit error); espresso application remains extrapolation/compatibility-strength. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): wadsworth2026.inertial","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-011,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0012,calibration_artifact_portability,D,calibration_artifact_producer,model:sourcing2026.g1_glassbead_analog | model:foster2025.infiltration,,infiltration,"sourcing2026.g1_glassbead_analog is a calibration component on stage infiltration (provenance reference_only, evidence qualitative_capacity). Declared validity: reference/qualitative; G1 coffee retention search target OPEN. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): foster2025.infiltration","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-012,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0013,calibration_artifact_portability,D,calibration_artifact_producer,model:sourcing2026.g3_pump_characteristic | model:foster2025.machine_mode,,machine,"sourcing2026.g3_pump_characteristic is a calibration component on stage machine (provenance reference_only, evidence sign_or_compatibility). Declared validity: reference (endpoints)/qualitative (shape); DE1 firmware closed. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): foster2025.machine_mode","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,UNKNOWN,I-013,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0014,calibration_artifact_portability,D,calibration_artifact_producer,model:wadsworth2026.grindmap,,grind,"wadsworth2026.grindmap is a calibration component on stage grind (provenance published_port, evidence source_curve_reproduction). Declared validity: Mahlkonig this burr/calibration ONLY; G 1-11, <R> 145-818 um; grinder-specific, non-portable to EK43/E65S dials (A9/rule 9). POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): none registered on this stage","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,NO,I-014,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0015,calibration_artifact_portability,D,calibration_artifact_producer,model:wadsworth2026.permeability,,packing,"wadsworth2026.permeability is a calibration component on stage packing (provenance published_port, evidence source_curve_reproduction). Declared validity: <R> 145-818 um, two arabica roasts. POSSIBLE DOWNSTREAM components (same stage, runtime role — a consuming path is NOT established): none registered on this stage","registry execution_role + valid_range + evidence_strength, verbatim. Same-stage co-location only; no output-to-input path was checked.","first establish whether any named component actually consumes this artifact, then source-swap sensitivity on that path",YES,NO,I-015,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0016,composition_failure,C,published_composition_failure,claim:PV-05,,,"Public claim PV-05 already reports a composition failure: 'Adding a swelling branch made this tested model worse.' (badge EXPLORATORY_SIMULATION, caveat: Diagnoses THIS shared-porosity composition, not the existence of swelling; does NOT prove the extraction-only mechanism; and 'simple is always best' is NOT the )","generated public claim registry, verbatim",the same base+one-mechanism protocol across other component combinations,YES,YES,I-016,UNREVIEWED,explicit,docs/public/generated/claims.json,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0017,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.coupled_kappa_t | model:brewer2026.lb_reference,,bed_dynamics / flow,"brewer2026.coupled_kappa_t and brewer2026.lb_reference are both registered from source brewer2026 (roles runtime / calibration; stages bed_dynamics / flow; evidence exploratory_synthesis / code_verification). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0018,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.coupled_kappa_t | model:brewer2026.lb_taichi,,bed_dynamics / flow,"brewer2026.coupled_kappa_t and brewer2026.lb_taichi are both registered from source brewer2026 (roles runtime / calibration; stages bed_dynamics / flow; evidence exploratory_synthesis / code_verification). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0019,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.coupled_kappa_t | model:brewer2026.pack_generator,,bed_dynamics / packing,"brewer2026.coupled_kappa_t and brewer2026.pack_generator are both registered from source brewer2026 (roles runtime / calibration; stages bed_dynamics / packing; evidence exploratory_synthesis / qualitative_capacity). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0020,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.coupled_kappa_t | model:brewer2026.streamtube,,bed_dynamics / bed_dynamics,"brewer2026.coupled_kappa_t and brewer2026.streamtube are both registered from source brewer2026 (roles runtime / runtime; stages bed_dynamics / bed_dynamics; evidence exploratory_synthesis / within_campaign_held_out). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0021,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.lb_reference | model:brewer2026.lb_taichi,,flow / flow,"brewer2026.lb_reference and brewer2026.lb_taichi are both registered from source brewer2026 (roles calibration / calibration; stages flow / flow; evidence code_verification / code_verification). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0022,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.lb_reference | model:brewer2026.pack_generator,,flow / packing,"brewer2026.lb_reference and brewer2026.pack_generator are both registered from source brewer2026 (roles calibration / calibration; stages flow / packing; evidence code_verification / qualitative_capacity). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0023,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.lb_reference | model:brewer2026.streamtube,,flow / bed_dynamics,"brewer2026.lb_reference and brewer2026.streamtube are both registered from source brewer2026 (roles calibration / runtime; stages flow / bed_dynamics; evidence code_verification / within_campaign_held_out). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0024,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.lb_taichi | model:brewer2026.pack_generator,,flow / packing,"brewer2026.lb_taichi and brewer2026.pack_generator are both registered from source brewer2026 (roles calibration / calibration; stages flow / packing; evidence code_verification / qualitative_capacity). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0025,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.lb_taichi | model:brewer2026.streamtube,,flow / bed_dynamics,"brewer2026.lb_taichi and brewer2026.streamtube are both registered from source brewer2026 (roles calibration / runtime; stages flow / bed_dynamics; evidence code_verification / within_campaign_held_out). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0026,composition_failure,C,same_source_pair_requires_composition_audit,model:brewer2026.pack_generator | model:brewer2026.streamtube,,packing / bed_dynamics,"brewer2026.pack_generator and brewer2026.streamtube are both registered from source brewer2026 (roles calibration / runtime; stages packing / bed_dynamics; evidence qualitative_capacity / within_campaign_held_out). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-017,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0027,composition_failure,C,same_source_pair_requires_composition_audit,model:foster2025.infiltration | model:foster2025.machine_mode,,infiltration / machine,"foster2025.infiltration and foster2025.machine_mode are both registered from source foster2025 (roles runtime / runtime; stages infiltration / machine; evidence sign_or_compatibility / source_curve_reproduction). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-018,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0028,composition_failure,C,same_source_pair_requires_composition_audit,model:maille2024.phi_closure | model:maille2024.two_regime,,grind / extraction,"maille2024.phi_closure and maille2024.two_regime are both registered from source maille2024 (roles calibration / calibration; stages grind / extraction; evidence code_verification / source_curve_reproduction). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-019,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0029,composition_failure,C,same_source_pair_requires_composition_audit,model:mo2023_2.coupled_bed | model:mo2023_2.swelling,,extraction / bed_dynamics,"mo2023_2.coupled_bed and mo2023_2.swelling are both registered from source mo2023_2 (roles runtime / runtime; stages extraction / bed_dynamics; evidence post_fit_reconstruction / source_curve_reproduction). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-020,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0030,composition_failure,C,same_source_pair_requires_composition_audit,model:pannusch2024.closures | model:pannusch2024.solver,,extraction / extraction,"pannusch2024.closures and pannusch2024.solver are both registered from source pannusch2024 (roles calibration / runtime; stages extraction / extraction; evidence code_verification / post_fit_reconstruction). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-021,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0031,composition_failure,C,same_source_pair_requires_composition_audit,model:sourcing2026.g10_liquor_rheology | model:sourcing2026.g1_glassbead_analog,,flow / infiltration,"sourcing2026.g10_liquor_rheology and sourcing2026.g1_glassbead_analog are both registered from source sourcing2026 (roles calibration / calibration; stages flow / infiltration; evidence source_curve_reproduction / qualitative_capacity). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-022,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0032,composition_failure,C,same_source_pair_requires_composition_audit,model:sourcing2026.g10_liquor_rheology | model:sourcing2026.g3_pump_characteristic,,flow / machine,"sourcing2026.g10_liquor_rheology and sourcing2026.g3_pump_characteristic are both registered from source sourcing2026 (roles calibration / calibration; stages flow / machine; evidence source_curve_reproduction / sign_or_compatibility). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-022,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0033,composition_failure,C,same_source_pair_requires_composition_audit,model:sourcing2026.g1_glassbead_analog | model:sourcing2026.g3_pump_characteristic,,infiltration / machine,"sourcing2026.g1_glassbead_analog and sourcing2026.g3_pump_characteristic are both registered from source sourcing2026 (roles calibration / calibration; stages infiltration / machine; evidence qualitative_capacity / sign_or_compatibility). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-022,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0034,composition_failure,C,same_source_pair_requires_composition_audit,model:wadsworth2026.grindmap | model:wadsworth2026.inertial,,grind / flow,"wadsworth2026.grindmap and wadsworth2026.inertial are both registered from source wadsworth2026 (roles calibration / runtime; stages grind / flow; evidence source_curve_reproduction / source_curve_reproduction). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-023,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0035,composition_failure,C,same_source_pair_requires_composition_audit,model:wadsworth2026.grindmap | model:wadsworth2026.permeability,,grind / packing,"wadsworth2026.grindmap and wadsworth2026.permeability are both registered from source wadsworth2026 (roles calibration / calibration; stages grind / packing; evidence source_curve_reproduction / source_curve_reproduction). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-023,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
T-0036,composition_failure,C,same_source_pair_requires_composition_audit,model:wadsworth2026.inertial | model:wadsworth2026.permeability,,flow / packing,"wadsworth2026.inertial and wadsworth2026.permeability are both registered from source wadsworth2026 (roles runtime / calibration; stages flow / packing; evidence source_curve_reproduction / source_curve_reproduction). Their RELATIONSHIP is unclassified: sharing a source does not make them a base/superset pair, and they may equally be alternative reductions or independent components.",registry: two components sharing one source prefix. That is ALL it establishes — no card relation was read as declaring one a superset of the other.,classify the pair first (base/superset · alternative reductions · independent); only base/superset proceeds to a held-out comparison,UNKNOWN,UNKNOWN,I-023,UNREVIEWED,explicit,puckworks/registry.py,28cb97ae0363622ec5475b2bb3865cf60f32dea9
