dataset_id,source_card_as_written,source_card_resolved,validation_strength_verbatim,derived_lineage_tags,uncertainty_retained,extraction_method,same_source_consumers,claims_using_it,caveat_verbatim
ellero2019/fig2_inverse_discharge,ellero2019,ellero2019,qualitative (figure-digitized SPH SIMULATION; the Ref.[8] markers are an experimental overlay),digitized | qualitative,n (est ~+/-0.05 Re; early ref8 markers ~+/-0.3),digitization (pixel extraction from screenshots; axis fit <1px),,,"SPH model OUTPUT in dimensionless sim units with NOMINAL parameters -> characterizes the MODEL, not coffee (card VERDICT: skip). theta=0.0058 is FIT to the flow data (circular at that theta). Pump-off windows (t/tnu ~37.6-52.6, 75.2-90.2) read as Re~0. Only the fig2 Ref.[8] markers are experimental (secondary ref, overlaid). Does NOT close G2 -- the raw ASIC 1993/1997 transient-discharge series (refs [13]/[18]) is still owed."
ellero2019/fig3_direct_discharge,ellero2019,ellero2019,qualitative (figure-digitized SPH SIMULATION),digitized | qualitative,n (est ~+/-0.05 Re; ~+/-0.0003 content),digitization (pixel extraction),,,"Exploratory parameter sweep, NO experimental comparison (card). Simulation units, nominal params -> model characterization, not coffee. Blue curve near-legend gap bridged by column median (notes)."
ellero2019/fig4_caffeine_content,ellero2019,ellero2019,qualitative (figure-digitized SPH SIMULATION),digitized | qualitative,n (est ~+/-0.0003-0.0008 content),digitization (pixel extraction),,,"Exploratory sweep, NO experimental comparison. Simulation units, nominal params. Supports the mechanism claim qualitatively (content rises with Dr, weakly with Db); not a coffee measurement."
fasano2000_partI/fig8_1_experimental,fasano2000_partI,fasano2000_partI,"qualitative (experimental, schematic redraw)",qualitative,n,"digitisation (raster, schematic)",fasano2000_partI.fines_migration,,low fidelity; 3/5/7 bar; transient peak then decay to a pressure-nonmonotone asymptote
fasano2000_partI/fig8_4_reversal,fasano2000_partI,fasano2000_partI,qualitative (fines counter-migration reversal test),qualitative,n,digitisation (raster),fasano2000_partI.fines_migration,,3 segments: direct decay / off-on resume at low plateau / inverted replays full peak
fasano2000_partI/fig8_6_model_q_inf,fasano2000_partI,fasano2000_partI,"verification of DIGITIZED model output (Suski sim); NOT reproducible -- closures K,M,gamma unpublished",digitized | verification,n,digitisation (raster),fasano2000_partI.fines_migration,,"nonmonotone q_inf(p0) for beta1,beta2; peak tracks the Fig 8.7 beta knee (Cor 8.2)"
fasano2000_partI/fig8_7_thresholds,fasano2000_partI,fasano2000_partI,input (beta(q) detachment thresholds),unclassified,n,digitisation (raster),fasano2000_partI.fines_migration,,"monotone-decreasing with a steep drop; beta1 knee ~q=0.33, beta2 knee ~q=0.23"
foster2025_2/fig12_14_curves,foster2025_2,foster2025_2,"post-fit, same-campaign CT observations / verification of fitted trajectories",mixed_strength | post_fit | verification,y (data err),digitization (Tim),foster2025.infiltration | foster2025.machine_mode,,s_fit/H_fit = paper ODE (0.02s grid); s_data/H_data = pixel-digitized CT (5-line mean); Fig8 -H differs from Fig14 H (do not mix)
foster2025_2/fig15_flow,foster2025_2,foster2025_2,verification (model curve),verification,n,digitization/model-repro (Tim),foster2025.infiltration | foster2025.machine_mode,,"Q_norm = bed flow min(Qp,f)/Qm (Eq18); flow-min 0.181 @ t=2.0s; reproduced by solving Eqs 32-38, not pixel-traced"
foster2025_2/params,foster2025_2,foster2025_2,verification (post-fit params),mixed_strength | post_fit | verification,n,transcription (from card),foster2025.infiltration | foster2025.machine_mode,,fine grind fit; t_shift=0.796 start-align; reported t_p/t_s = model + t_shift; Fig 15 flow-min pending 0.11
g10_liquor_rheology/khomyakov_kinematic_viscosity,khomyakov2020,khomyakov2020,reference/qualitative (espresso is BELOW the 15 wt% measured floor),mixed_strength | qualitative | raw_measurement | reference_only,n (authors call regressions approximate),transcription (open PDF),,,"MEASURED kinematic viscosity 15-70 wt% x 20-80 C; nu monotone down in T, up in solids (smoke-tested). DOMAIN GUARD: >=15 wt%, ABOVE espresso TDS (4-12 wt%) -> espresso is an EXTRAPOLATION; do not extrapolate below 15 wt% silently. Industrial soluble-coffee extract, not fraction-resolved espresso. Printed density (+0.8*T sign conflict) and dynamic-viscosity power-law (literal eval 5.8-1194x off Table 1) equations QUARANTINED in-dir (_FLAGGED/_QUARANTINED.csv), NOT loaded. See docs/cards/khomyakov2020.md."
g10_liquor_rheology/telis_romero_envelope,g10_liquor_rheology,g10_liquor_rheology,reference/qualitative (espresso-TDS extrapolated),mixed_strength | qualitative | reference_only,n,transcription (abstracts/snippets + open 2013 xref; primary tables paywalled),,,"Sources measured INSTANT-COFFEE processing conc (dilute end 90% water); espresso TDS 4-12% solids is BELOW their range -> mu_espresso is EXTRAPOLATION toward pure water (~1.3-2x). Espresso IS Newtonian (validates single-mu assumption; power-law only >36% solids). Quantitative per-cell mu(T,c) needs Tim drop of Telis-Romero tables. No espresso-TDS measurement on file (new open sub-search)."
g10_liquor_rheology/telisromero2000_thermal,telisromero2000,telisromero2000,source_curve_reproduction for the extract properties (espresso application is extrapolation/compatibility-strength),unclassified,y (authors' r^2 0.981/0.993/0.986/0.944; internal alpha inconsistency -11.35% +/-3.87%),transcription (closure coefficients + figure-read/water-limit anchors from card; data published figure-only),,,"COMPANION to telisromero2001 (same batch family) -> mu/rho/cp/k/alpha(T,X_w) liquor set. X_w is a FRACTION here vs PERCENT in 2001 (normalization hazard -> loaders guard). Eq (6) alpha T-coeff has a ~100x EXPONENT TYPO (printed 0.0212e-10; corrected 0.0212e-8 = 2.12e-10 reproduces Fig 5); corrected value loaded, printed noted. Direct alpha convection-biased +~11% vs k/(rho*cp) -> pick ONE path. Espresso TDS at UPPER edge of conc range + brew T 88-96C ABOVE 82C -> extrapolation. Water-referenced Eqs (2)/(5)/(7) NOT loaded (need external water-property tables). Bulk rho ~1003 (<=1% over water); first-drip rho ~1196 (20% mass<->volume effect). DATA-ONLY companion (no separate component; gated under sourcing2026.g10_liquor_rheology)."
g10_liquor_rheology/telisromero2001_closures,telisromero2001,telisromero2001,source_curve_reproduction for the extract rheology (espresso application is extrapolation/compatibility-strength),unclassified,y (authors' fit errors: eta mean 2.34%/max 10.17%; n 0.14%; K mean 6.77%/max 18.50%),transcription (closure coefficients + 2 measured anchors from card; primary tables paywalled/figure-and-table-only),,,"Industrial SOLUBLE-COFFEE extract (51 Brix, one batch), NOT espresso liquor -> unquantified composition bias (no oils/fines/CO2). Newtonian domain X_w 76-90%; power-law only >36% solids. Espresso TDS 4-12% solids sits at/below the source's dilute end -> mu EXTRAPOLATED toward water. Bulk shot-TDS mu ~=1.06x water (negligible); ~1.3-2x belongs to concentrated early in-pore liquor. Table1(24)/Table2(54) per-cell values NOT yet digitized (figure/table-only). Companion rho/thermal in telisromero2000 (card-only)."
g10_liquor_rheology/telisromero2001_tables,telisromero2001,telisromero2001,source_curve_reproduction (measured Table 1/2; espresso extrapolated),raw_measurement,"y (per-cell measured; authors' fit errors eta 2.34/10.17, K 6.77/18.50 mean/max %)","digitization (Tim's drop, 2026-07-15; 2-3 sig figs off the paywalled tables)",,,"CLOSES the OWED per-cell digitization. Cross-validates the transcribed closures (independent path) against the measured grid -> agreement at the authors' own fit quality confirms both. Table 1 spans exactly the espresso in-pore X_w range (76-90%); used directly (bilinear, data.telisromero_eta_measured) by analysis.g10_viscosity_sensitivity. Composition caveat (soluble-coffee extract != espresso liquor) + dilute-end extrapolation (espresso is >90% X_w, above the box top) stand."
g1_glassbead_analog/retention_kr,g1_glassbead_analog,g1_glassbead_analog,reference/qualitative,mixed_strength | qualitative | reference_only,n,transcription (open PDF fetch),,,"ANALOG (spherical glass beads, NOT coffee): transfers K_r(S) shape + S_r=0.07 + linearized-VG slope, NOT magnitude. Coffee retention search target (g1_retention_search_target.md) STAYS OPEN. Do NOT upgrade without a coffee measurement + §7.1 entry. Valid 0.2<S<0.8 only."
g3_pump_characteristic/ulka_envelope,g3_pump_characteristic,g3_pump_characteristic,reference (endpoints) / qualitative (shape),mixed_strength | qualitative | reference_only,n (catalogue +/-15%),transcription (public web),,,"Manufacturer ENDPOINTS only measured (Q_free~10.8 mL/s, P_deadhead 15 bar, +/-15%); interior curve is CONCAVE DROOP not quadratic. True DE1 Q(P) is CLOSED ESP32 firmware (country-calibrated, unpublished). Does NOT replace waszkiewicz2025/brewer_quadratic (operative measured quad). Independent DE1 curve = TB bench pull or Decent request. 120V/60Hz only."
gagne2021/grinder_arm_summary,gagne2021,gagne2021,"qualitative (blog; measured within-session contrasts are independent, mechanistic chain is endpoint-anchored/circular)",independent | mixed_strength | qualitative | raw_measurement,partial (SD on measured EY/retention; figure-read quantities have none),card transcription (measured means +/- errors; figure-read quantities flagged read_method=figure),,,11 .shot P/flow/T traces NOT held (external acquisition target data/gagne2021_shots/; verify links); resistance is DE1-firmware instrument-defined; ~20% end-of-shot flow-sensor drift; no PSD; single coffee/machine/profile
gagne2021/resistance_decline_summary,gagne2021,gagne2021,"reference (machine-logged hydraulics; mechanistic use is a bounded degeneracy, not validation)",reference_only,n (single traces per shot),"computed from the raw .shot traces (puckworks.analysis.gagne2021_resistance); the derived summary ships, raw .shot stays git-tracked but out of the wheel",,,"apparent resistance from the DE1 flow estimate (drifts ~20% near shot end); single coffee/machine/profile; the raw .shot traces are the provenance (gagne2021/shots), redistribution posture unverified"
gagne2021/shots,gagne2021,gagne2021,reference (machine-logged hydraulics); mechanistic use is hypothesis-generating,reference_only,n (single traces; ~20% end-of-shot flow-sensor drift documented),raw .shot files parsed to aligned espresso_* channels (no resampling/conversion),,,DE1 firmware-defined resistance channel; ~20% end-of-shot showerhead-flow drift contaminates R(t); no PSD; single coffee/machine/profile; blog redistribution posture unverified; raw .shot files tracked
gloess2013/de_espresso_endpoint,gloess2013,gloess2013,reference (measured endpoint; single pooled composite),mixed_strength | raw_measurement | reference_only,partial (published +/- on text_table rows only; figure_read rows carry NONE),"card transcription: text/table values + figure reads, flagged per row in an extraction_method column",,,"ONE in-scope condition only (DE Dalla Corte espresso); the paper's 8 other methods are non-espresso and NOT transcribed. Each sample is a composite of FIVE double shots, so the spread is between composites, not between shots. Headline TDS/EY are FIGURE-READS -- the ESM tables were not retrieved. Beverage given as VOLUME (60 ml) with no density, so any volume->mass conversion is an assumption. PSD is mode+FWHM only (400/220 um). Single coffee, single operating point: no parameter dependence is testable."
grudeva2025/exp13_vial_stats,grudeva2025,grudeva2025,post-fit reconstruction,post_fit,y (SD),derived (mean/SD from repo raw),grudeva2025.reduced,,derived per-vial mean/SD over 14 shots; raw not redistributed; solubles = vial weight x TDS
grudeva2025/params,grudeva2025,grudeva2025,reference set,reference_only,n,transcription (from card),grudeva2025.reduced,,kappa row adjudicated 2.2e-15 (decade typo); P_app 9.2e5 (printed 9.2e-6 typo); two configs not merged
hargarten2020/scalar_anchors,hargarten2020,hargarten2020,qualitative (measurement study),qualitative,partial (SD on Δd_rel only; slopes carry p-values),transcription (printed scalars from card),,,"~15% ISOTROPIC swelling, size- and roast-INDEPENDENT (non-significant slopes), erosion-corrected via sieving; temperature-enhanced fines erosion (sign only, mass not quantified). No k(swelling) or porosity(t) relation -- direction only. Ambient pressure only."
hargarten2020/swelling_progress,hargarten2020,hargarten2020,qualitative (measurement study; no predictive model in source),qualitative,partial (population-level; no per-value SD printed),transcription (printed scalars from card),,,"Ambient pressure ONLY -- the ~9 bar espresso regime is explicitly NOT covered (card's key silence). Progress >100% @4min = 20-min-normalization artifact, not overshoot. Two roasts, demineralized water. Pairs with Mo 2021/2022 swelling/erosion models (not implemented) to become runtime-relevant. Figures (PSD dry/wet, single-particle time-courses) OWED as a digitization drop."
khamitova2020/tamping,khamitova2020,khamitova2020,reference (measured HPLC means; the source's 3D solver is superseded by angeloni2023 and not intaken),mixed_strength | raw_measurement | reference_only,y (per-condition RSD %),card/dissertation table transcription (HPLC-VWD lab means + RSD %),,,"tamping-force effect is approximately null (narrow variation) at fixed 1:2 ratio; single rig/coffee; the 3D model params (Tables 5.8-5.10) are NOT transcribed (rig-specific, superseded); precursor of the angeloni2023 lineage"
liang2021/fig3_tds,liang2021,liang2021,post-fit reconstruction (digitized),digitized | post_fit,n,digitization (Tim),liang2021.desorption,,digitized subset ~42 of 99 pts; refit K*E_max=0.2186 vs card 0.215+/-0.002; R_brew>=3 (excl. moist-sludge R=2)
liang2021/fig4_E,liang2021,liang2021,independent (E flat) / kernel check,independent,n,digitization (Tim),liang2021.desorption,,measurement col = equilibrium|oven_drying; equil E ~20.4% (card ~21%); oven under-reads
liang2021/fig5_cupping,liang2021,liang2021,qualitative,qualitative,n,digitization (Tim),liang2021.desorption,,5A/5B panels; caf/decaf/roast levels
maille2024/equilibrium_concentrations,maille2024,maille2024,reference (measured; 5 compounds),mixed_strength | raw_measurement | reference_only,y (SD per cell),table transcription (thesis),maille2024.phi_closure | maille2024.two_regime,,21 materials; C_inf measured not predicted (no solute-inventory model)
maille2024/extraction_curves,maille2024,maille2024,source_curve_reproduction (tabulated phi/lambda reproduce the digitized Omega_A curves to ~model MPE 4-10%),digitized,n (replicate-resolved points),figure digitization (5 compounds x replicates),maille2024.phi_closure | maille2024.two_regime,,"single material Omega_A only; per-figure digitization schemas normalized; batch WMBR, coarse grind"
maille2024/kinetics_caffeine_3cqa,maille2024,maille2024,"post-fit reconstruction (per-material two-parameter curve fits, R2 0.85-0.99; batch WMBR, not espresso)",post_fit,y (95% CI per param),table transcription (thesis),maille2024.phi_closure | maille2024.two_regime,,17 materials; E5: OmegaT/3-CQA lambda_fast CI internally impossible (upper<est) -> UNUSABLE (analysis.maille2024.kinetics_flags)
maille2024/kinetics_organic_acids,maille2024,maille2024,"post-fit reconstruction (curve fits; weaker for quinic, R2 down to 0.47)",post_fit,y (95% CI; some unreported '*'),table transcription (thesis),maille2024.phi_closure | maille2024.two_regime,,16 materials; '*' = unreported; E5: OmegaL/quinic lambda_slow CI internally impossible -> UNUSABLE
maille2024/materials,maille2024,maille2024,reference (material list),reference_only,n,table transcription (thesis),maille2024.phi_closure | maille2024.two_regime,,21 materials; single Colombian origin; two roasts; coarse sieved + full-PSD
maille2024/normalized_curves,maille2024,maille2024,reference (measured normalized curves),mixed_strength | raw_measurement | reference_only,n,table transcription (thesis),maille2024.phi_closure | maille2024.two_regime,,"3 materials x 5 compounds x 7 times; the extraction FIGURES (Figs 4.6-4.10, ~60 events) are a separate digitization OWED"
maille2024/particle_porosity,maille2024,maille2024,reference (measured; unredacted table),mixed_strength | raw_measurement | reference_only,n,"table transcription (thesis, unredacted)",maille2024.phi_closure | maille2024.two_regime,,closed porosity rises with particle size; unredacted
maille2024/phi,maille2024,maille2024,"verification (phi=fines+coarse Eq 6.7; E1 two-layer reproduces it, mean|err| 0.018 vs 0.207 one-layer)",verification,n,table transcription (thesis),maille2024.phi_closure | maille2024.two_regime,,"17 materials; TWO-cell-layer shell adopted (printed one-layer form is wrong, ~doubles phi); per-bin PSD unpublished so D[4,3] approximation used"
maille2024/psd_dispersion,maille2024,maille2024,reference (measured; two methods),mixed_strength | raw_measurement | reference_only,n,table transcription (thesis),maille2024.phi_closure | maille2024.two_regime,,24 materials; documents that GrindState.fines_fraction is dispersion-method-dependent (186um cut here)
maille2024/psd_hybrid,maille2024,maille2024,reference (measured PSD),mixed_strength | raw_measurement | reference_only,n,table transcription (thesis),maille2024.phi_closure | maille2024.two_regime,,21 materials; hybrid = liquid-dispersion fines below 186um + air above (Eq 5.1-5.3)
maille2024/ssa,maille2024,maille2024,reference (measured; unredacted table),mixed_strength | raw_measurement | reference_only,y (SD),"table transcription (thesis, unredacted)",maille2024.phi_closure | maille2024.two_regime,,was redacted in the release the card was written from; supplied here from the unredacted thesis
mckeonaloe2022/basket_open_area_geometry,mckeonaloe2022,mckeonaloe2022,"reference/qualitative (single-specimen hobbyist imaging; open-area direct, diameters figure-read)",digitized | mixed_strength | qualitative | reference_only,"y (std ~30 um; single specimen n=1, no pixel calibration)","transcription (card table; open-area direct, mean diameters read off bar charts)",,,"n=1 basket each; mean diameters read off bar charts (mean_hole_diam_approx=True); hole count / plate thickness not provided; holes taper wider on coffee face (exit face flow-limiting); geometry only, NO dP/resistance -> does NOT close G9"
mo2023/fig8a,mo2023,mo2023,independent (SPH),independent,n,digitization (Tim),,,Darcy->Forchheimer decline 5.2->2.5e-13; Re NOT interchangeable with wadsworth Fo_F (§5.2)
mo2023/forchheimer,mo2023,mo2023,"independent (SPH-derived, seg. circular to eps=0.17)",independent,n,digitization/transcription (Tim),,,K1 UNITS CAVEAT (§5.3): Eq.2 needs [k1]=m but tables give 1e-9 m2; inconsistent ~1e4 vs Fig 8b -> do NOT use k1 quantitatively (author corresp pending)
mo2023_2/fig3a_qdecay,mo2023_2,mo2023_2,"verification (MODEL output, not data): E 4.9->0.24, F 35->4.1 mm/s at s_m=3.6%",verification,n,digitisation (raster),mo2023_2.coupled_bed | mo2023_2.swelling,,fixed-dP swelling regime; the paper's headline claim rests on ZERO data here
mo2023_2/fig6_Ksweep_typeM,mo2023_2,mo2023_2,verification (model output),verification,n,digitisation (raster),mo2023_2.coupled_bed | mo2023_2.swelling,,"CAPTION HAZARD: 'K=0.9 hindrance factor' is the PARTITION coefficient, mislabeled"
mo2023_2/granulometry_table1,mo2023_2,mo2023_2,reference (measured Mastersizer 3000 granulometry),mixed_strength | raw_measurement | reference_only,n,transcription (thesis table),mo2023_2.coupled_bed | mo2023_2.swelling,,bimodal fine/coarse split at 100 um; distinct from the mo2023 arXiv PSD table
mo2023_2/k0_table2,mo2023_2,mo2023_2,"verification (CK k0 = eps^(3+2n) d32^2/(72(1-eps)^2), reproduces from Table 1 exact)",verification,n,transcription (thesis table),mo2023_2.coupled_bed | mo2023_2.swelling,,"t=0 flow closure sanity only, NOT swelling"
mo2023_2/sim_lines_figs7_9,mo2023_2,mo2023_2,verification (model curves overlaid on Figs 6-9 experimental points),verification,n,digitisation (raster),mo2023_2.coupled_bed | mo2023_2.swelling,,K tuned to 0.9; implement-later solver reproduction target
mo2023_2/yield_strength_figs6_9,mo2023_2,mo2023_2,"independent (fixed-flow yield/strength; authors validate M_c<30 g only, overpredict beyond)",independent,y (3-replicate error bars),digitisation (raster),mo2023_2.coupled_bed | mo2023_2.swelling,,powders E/M/F x q 2/3/4 mL/s; monotone in grind (NO fine-grind dip -- fixed-flow defeats clogging)
moroney2015/data,moroney2015,moroney2015,"reference (measured/transcribed; the model is already registered in better forms - moroney2016 surrogate, cameron2020 runtime)",mixed_strength | raw_measurement | reference_only,partial (per-file evidence_strength + digitization cross-validation notes; no per-point error bars),verbatim table transcription (Tables 1-2) + figure digitization (per-file README_manifest evidence_strength MEASURED/ESTIMATED),,,"Philips drip-filter chamber (60 g, 250 mL/min, ~1 L), NOT espresso brew ratio; Fig 8 y-calibration ESTIMATED (raster source); some figure series duplicate others (Fig 9=Fig 1; Fig 11/12 blue=Fig 3); a # provenance header rides on every file"
moroney2016/fig6,moroney2016,moroney2016,qualitative,qualitative,n,digitization (Tim),moroney2016.surrogate,,"leading-order matches plateau + wash-through (c=0.5 at t~3.1); tail needs outer soln (Moroney 2015), not on card"
moroney2016/table1,moroney2016,moroney2016,reference set,reference_only,n,transcription (from card),moroney2016.surrogate,,fine-grind params; alpha*/beta* fitted; constant-dP baked in
moroney2019/table2,moroney2019,moroney2019,post-fit reconstruction (parameters fitted to the same Philips dataset; conical case unvalidated),post_fit,n (point fits; no SD reported),card transcription (printed Table 2; corrected columns derived via cooper2021 Erratum A/B),,,"h_sl_reported carries the paper's ~10^3 CFD-scaling error; use h_sl_corrected (=reported/965.3). Kinetics duplicate cameron2020 at lower fidelity; pre-dissolution IC overshoots saturation early; single Philips drip-brew dataset, not espresso"
pannusch2024 (Mendeley repo),pannusch2024,pannusch2024,deferred (post-fit reconstruction when landed at 1.8a),post_fit,partial,repository drop (Tim),pannusch2024.closures | pannusch2024.solver,,kinetics covered via schmieder2023; Table 2 in .mat as MATLAB table objects (scipy cannot parse) - transcribe at 1.8a; see pannusch2024/PROVENANCE.md
pannusch2024/experimental_kinetics,pannusch2024,pannusch2024,post-fit reconstruction,post_fit,n (run-averaged),derived (run-averaged from repo .mat),pannusch2024.closures | pannusch2024.solver,,15 exp x 6 fractions; TDS %*10=mg/mL; grind not in struct (centre 1.7 used); raw .mat not redistributed
pannusch2024/table2_params,pannusch2024,pannusch2024,post-fit reconstruction,post_fit,n,transcription (from card),pannusch2024.closures | pannusch2024.solver,PV-03,4 solutes + per-grind psi/d_s2; fitted params lack generality (authors); TDS = caffeine-like pseudo-molecule
perticarini2024/bed_height_time,perticarini2024,perticarini2024,reference (nominal bed height + mean time),reference_only,n (means only; no spread published),"transcription (thesis table, read from the PDF text layer)",,,"Mean tamped height L and mean extraction time per granulometry per coffee; VST Competition basket, inner radius 29.25 mm, 20+/-0.1 g dose, 20 kgF tamp"
perticarini2024/ey_tds_cibao,perticarini2024,perticarini2024,"independent (measured TDS/EY, 3 repeats per condition)",independent | mixed_strength | raw_measurement,y (TDS standard deviation over 3 repeat extractions),"transcription (thesis table, read from the PDF text layer)",,,"18 conditions for Cibao Altura: 5 granulometries incl. extra fine and extra coarse, T 90.4/93.4 degC, p 6/9 bar plus 12 bar on the two extreme grinds only. Extends the registry's grind envelope past egidi2024's Modoetia set in BOTH directions. EY is the thesis's own TDS x brew-ratio product, not an independent measurement -- implied beverage/dose ratio spans 1.95-2.07, consistent with the stated 40+/-2 g out of 20+/-0.1 g. Table 4.3 (Modoetia) is NOT transcribed: expected to duplicate egidi2024 Table 2 and unverified"
perticarini2024/granulometry_params,perticarini2024,perticarini2024,"post-fit reconstruction (a_f, a_b are PSD modes; phi_f from volume percentage)",post_fit,n (single values),"transcription (thesis table, read from the PDF text layer)",,,"Fines/boulder representative radii and fines solid fraction for the six simulated I=1 extractions. a_f, a_b are the two MODES of a bimodal PSD split at 100 um, not independently measured radii. Store WITH the factor-2 a_s convention flag the card records"
pocketscience2024/edge_ey_condition_means,pocketscience2024,pocketscience2024,"qualitative (hobbyist, non-peer-reviewed, single DE1, shot-style-vs-grinder confounded)",qualitative,partial (n=4-5 per condition; per-condition SD not transcribed),"card transcription (condition means; raw workbook held locally, gitignored)",,,"shot style confounded with grinder; two-zone radial only (no depth); section EY anchored to shot EY by construction; VST18xbrass cells absent (12 of 16); Gagne MC edge losses differ from raw means; label erratum carried (outer-to-TOTAL, not outer-to-inner); does NOT close G1 or G9"
pocketscience2024/lrr_scalars,pocketscience2024,pocketscience2024,qualitative,qualitative,n=5 mean only (no SD transcribed),card transcription (grinder-level means; raw sheet gitignored),,,"lumped POST-FLUSH retention (~285 g water / 14 g dose), NOT in-shot dead water and NOT a retention curve theta(psi); does NOT satisfy the G1 search target"
ribes2020/radial_ey,ribes2020,ribes2020,"qualitative (slide-grade, unknown n, undocumented zone-EY back-calculation)",qualitative,n (replicate count not provided; possibly n=1),card transcription (zone EYs read from slide bar charts; radii from chart axes),,,outlet-side paper filter changes flow distribution + fines retention + resistance at once (unseparable); zone-EY method undocumented so absolute EYs are not cross-source comparable; single machine/coffee/grind; 12 g in a 15 g basket (under-dosed)
