claim_id,headline,key,value,unit,evidence_strength,badge,dataset_manifest_ids,source_commit
PV-04,We thought a model had explained the fine-grind espresso dip — then we checked the units and the raw replicates.,welch_ci95_lo_EYpt,-0.422,EY-points,independent,OBSERVED,schmieder2023/cup_masses;schmieder2023/rsm_coefficients,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-04,We thought a model had explained the fine-grind espresso dip — then we checked the units and the raw replicates.,welch_ci95_hi_EYpt,-0.06,EY-points,independent,OBSERVED,schmieder2023/cup_masses;schmieder2023/rsm_coefficients,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-05,Adding a swelling branch to the extraction model made the prediction worse than a flat line.,composite_rmse_g_per_s,0.648,g/s,qualitative,EXPLORATORY_SIMULATION,waszkiewicz2025/traces_time_dependent,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,condition_number,1927.0,ratio,negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,inverse_curvature_coupling,-0.994,"ratio (geometric, not statistical)",negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,profile_fraction_of_log_grid,0.76,fraction of tested log-rate grid,negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,sse_mape_threshold_jaccard,0.86,Jaccard overlap (0-1),negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,held_out_model_mape,8.23,% MAPE,negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,held_out_const_mape,8.59,% MAPE,negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,n_model_worse_than_const,50,count,negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,n_points,108,count,negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,skill_vs_const,0.042,fraction,negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
PV-03,The final cup can hide very different extraction clocks.,table7_implied_rate,0.95,rate scale (dimensionless),negative validation,RECONSTRUCTED,angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/inventories;pannusch2024/table2_params,82bb3d339f35b521bea8dc7a88428c84f024c1d3
