component,relation,scope,gate,outcome
mo2023_2.coupled_bed,post_fit_reconstruction,"Yield (%) vs beverage mass M_c (g), type-M, q=2/3/4 mL/s, M_c<30 g; within-bars count, shape spread, mass-balance floor.",gate_mo2_coupled_bed_fig8,supported
mo2023_2.swelling,sign_or_compatibility,"Mean yield (%) over the M_c 18-32 g window, across q (2 vs 4 mL/s) and across powders E/M/F at matched q.",gate_mo2_fixed_flow_trends,negative
mo2023_2.swelling,code_verification,Per-powder relative error between the recomputed CK k0 and the tabulated Table 2 k0 (m^2).,gate_mo2_k0_carman_kozeny,supported
mo2023_2.swelling,source_curve_reproduction,"Fixed-dp flow-decay ratio q(60s)/q(0) (dp/mu/L cancelled) per powder E/H/M/F, plus the scalar s_m.",gate_mo2_swelling_flow_decay,negative
mo2023_2.swelling,code_verification,"End-of-shot yield (fraction of extractable inventory) with swelling on vs off at q=2/3/4 mL/s (fixed-q), contrasted with the fixed-dP Carman-Kozeny flow-decay ratio.",gate_mo2_swelling_insensitivity,supported
moroney2016.surrogate,source_curve_reproduction,"Nondimensional exit concentration c_h vs time: model half-max time vs data t at c=0.5, and early-region RMSE.",gate_moroney_fig6_washthrough,negative
moroney2016.surrogate,source_curve_reproduction,Predicted-vs-measured cylindrical Delta_p (Pa) at the two permeability anchors.,gate_moroney2015_kappa_anchors,negative
moroney2016.surrogate,code_verification,"Solute mass-budget closure, exit-concentration shape/timescales, and corrected-vs-reported intragranular diffusivity relative to free aqueous diffusion.",gate_moroney2019_ldf_verification,supported
moroney2016.surrogate,source_curve_reproduction,Equilibrium batch brew concentration c_h vs the digitized Fig-6 model plateau; the derived phi_h reconstruction; the c_v0 initial-condition cross-check; soluble mass budget.,gate_moroney2015_batch_ode,negative
pannusch2024.closures,code_verification,"Scalar closure outputs at fixed inputs: mu(363K), rho(363K), D per solute, K(Tref)/K80/K98 ratios, and h_sl at two flow rates.",gate_pannusch_closures,supported
pannusch2024.solver,post_fit_reconstruction,Per-solute MAPE (%) between simulated and measured fraction concentrations over 15 experiments x 6 time-fraction windows.,gate_pannusch_solver_mape,supported
romancorrochano2017.extraction,code_verification,"Bed mass-balance residual and yield monotonicity over 40 s, plus ordering of yield and strength at fixed beverage volume for Q=0.8/1.5/3.0e-6 m^3/s.",gate_roman_bed_flow_trend,supported
romancorrochano2017.extraction,source_curve_reproduction,"Mean percentage error (MPE, %) between the thesis's predicted and measured espresso yields per molecular-weight Deff class, digitized from Fig. 7.4 (~+/-0.5 pp).",gate_roman_bed_mpe_parameter_free,supported
romancorrochano2017.extraction,source_curve_reproduction,Deff class ordering (Table 4.9); K(20/50/80C) magnitude/monotonicity vs Table 4.10; t50 ordering by Deff and equilibrium-extent vs K in the stirred-vessel solver.,gate_roman_mw_temperature_trends,negative
romancorrochano2017.extraction,code_verification,Max abs difference between the numerical MOL sphere release (N=120) and the analytic Crank series at t=0.5..40 s.,gate_roman_sphere_solver,supported
romancorrochano2017.extraction,sign_or_compatibility,Band membership of the 12 measured kappa values and the grind-ordering monotonicity across three densities.,gate_roman_tamped_kappa,negative
romancorrochano2017.extraction,sign_or_compatibility,"Ordering of y0 vs the cameron and liang code-constant ceilings, and monotone decrease of the transcribed y0(grind) across six grinds.",gate_roman_y0_ceiling_sizeexclusion,negative
sourcing2026.g10_liquor_rheology,sign_or_compatibility,"Per-cell percent offset (mu_khomyakov - mu_TR2001)/mu_TR2001 over the overlapping concentration/temperature cells, summarized by median/min/max and sign.",gate_g10_intersource_spread,negative
sourcing2026.g10_liquor_rheology,sign_or_compatibility,Early-shot flow factor (mu_water/mu_espresso) and late/equilibrium flow factor under an algebraic Darcy Q~1/mu relation.,gate_g10_mu_bias_directional,negative
sourcing2026.g10_liquor_rheology,sign_or_compatibility,"Reference espresso dynamic-viscosity ratio to pure water at brew temperature, plus Newtonian-band membership.",gate_g10_reference_mu_above_water,negative
sourcing2026.g10_liquor_rheology,source_curve_reproduction,"Density rho, specific heat cp, thermal conductivity k and thermal diffusivity alpha of soluble-coffee extract vs T and water fraction (plus a unit guard).",gate_g10_telisromero2000_thermal,negative
sourcing2026.g10_liquor_rheology,source_curve_reproduction,"Predicted eta at the Table-1 anchor cell and K at the Table-2 anchor cell (relative error vs the source's measured values), plus the bulk-shot mu/water ratio.",gate_g10_telisromero_closure,negative
sourcing2026.g10_liquor_rheology,source_curve_reproduction,Newtonian dynamic viscosity eta (Pa.s) and power-law consistency index K (Pa.s^n) of soluble-coffee extract vs temperature and water fraction.,gate_g10_telisromero_full_table,negative
sourcing2026.g10_liquor_rheology,sign_or_compatibility,Darcy flow-suppression factor (mu_water / mu_local) implied by concentration-dependent liquor viscosity over a simulated shot's in-pore concentration field.,gate_g10_viscosity_bulk_negligible,supported
sourcing2026.g10_liquor_rheology,sign_or_compatibility,"Per-cell percent offset (mu_sobolik - mu_TR2001)/mu_TR2001 and (mu_khomyakov - mu_TR2001)/mu_TR2001 over the overlap, summarized by sign and median.",gate_g10_foursource_spread,negative
sourcing2026.g10_liquor_rheology,source_curve_reproduction,Spot-value comparison of the computed Eq (4)/(5)/(11) lines against the authors' own stated values.,gate_g10_sobolik_closures,negative
sourcing2026.g10_liquor_rheology,sign_or_compatibility,Per-shot post-bloom apparent-resistance decline ratio (peak/end of R=P/Q) vs the telisromero mu(TDS)/mu(water) ratio at bulk and early first-drip TDS.,gate_gagne2021_viscosity_discrimination,negative
sourcing2026.g10_liquor_rheology,source_curve_reproduction,"Refractive index n_D^20(w), mixture density rho(w,T), and thermal conductivity lambda(w,T) vs the sobolik2002 computed physical-properties columns; the w=0 water-limit identity; the sign of drho/dT; the pure-water base of Eq-3.",gate_g10_sobolik_density,negative
sourcing2026.g1_glassbead_analog,sign_or_compatibility,Parameter bounds and monotonicity of the cubic K_r(S)=((S-S_r)/(1-S_r))^3 curve.,gate_g1_glassbead_closure_sane,negative
sourcing2026.g3_pump_characteristic,sign_or_compatibility,"Pump/basket pressure drop dP (bar) vs flow Q over the working range, bounded against manufacturer free-flow debit and deadhead endpoints.",gate_g3_pump_envelope_bounds_quadratic,negative
wadsworth2026.grindmap,source_curve_reproduction,Polydispersivity S (moment ratio) vs grinder dial setting G.,gate_grindmap_polydispersity,negative
wadsworth2026.grindmap,post_fit_reconstruction,Mean grain radius <R> vs dial G (linear grind map).,gate_grindmap_refit,negative
wadsworth2026.inertial,code_verification,Darcy-limit recovery of the Forchheimer momentum-equation root solver (code property).,gate_inertial_darcy_recovery,supported
wadsworth2026.inertial,sign_or_compatibility,Peak Forchheimer number Fo_F = rho*k*q/(mu*k_I) evaluated along the recorded trace.,gate_inertial_de1_audit,supported
wadsworth2026.inertial,source_curve_reproduction,Forchheimer number Fo_F band for the paper's worked espresso estimate.,gate_inertial_fo_band,negative
wadsworth2026.inertial,source_curve_reproduction,Pore-scale Reynolds-number band and apparent-k decline derived from mo2023 Fig 8a.,gate_mo_reynolds_overlay,negative
wadsworth2026.permeability,source_curve_reproduction,"Dimensionless collapse ratio k_measured / (k_star(phi_p,s_p)*phi_p^4.4) across the Table 1 grind rows, aggregated as a geometric mean.",gate_wadsworth_collapse,supported
waszkiewicz2025.poroelastic,post_fit_reconstruction,"Mass flow Q(t) at 9 bar vs time (long-run mean g/s and Pearson correlation, t>=15 s).",gate_waszkiewicz_dynamic_9bar,supported
waszkiewicz2025.poroelastic,post_fit_reconstruction,"Steady-state basket-pressure vs mass-flow curve; recovered calibration parameters P_c, Q_c.",gate_waszkiewicz_static_refit,supported
